Parametros	pH	 Conductividad  Turbidez Coliformes
Fuente_1	   6	    150	          2	       1
Fuente_2	  7.5	    178	          0	       1
Fuente_3	  7.0 	  180	          0	       0
Fuente_4	  7.08	  139	          2	       0
Fuente_5	  6.15	  145	          0        0
Fuente_6	  7.88	  163	          0	       0
Fuente_7   	6.46	  167	          5	       1
Fuente_8	  6.67	  161	          2	       1
Fuente_9	  8.94	  154	          2	       0
Fuente_10	  5.32	  155	          0	       0
Fuente_11	  7.16	  103	          0	       2
Fuente_12	  6.77	  289           0	       0
Fuente_13	  7.35	  288	          0	       0
Fuente_14	  6.94	  342	          1 	     1
Fuente_15	  6.24	  212	          1	       0
Fuente_16	  7.92	  208	          1	       0
Fuente_17	  7.62	  309	          2 	     2
Fuente_18	  6.47	  277	          5	       1
Fuente_19	  6.43	  244	          0 	     1
Fuente_20	  7.39	  239	          0	       0
Fuente_21	  6.67	  286	          1	       1
Fuente_22	  7.49	  169	          0	       0
Fuente_23   6.45	  141	          1	       0
Fuente_24	  7.49	  166	          0	       3
Fuente_25	  6.37	  173	          0	       0
